subset,references,metric,value
1size,"[0, 1]",bleu_1,84.7
1size,"[0, 1]",bleu_2,64.8
1size,"[0, 1]",bleu_3,50.3
1size,"[0, 1]",bleu_4,39.1
1size,"[0, 1]",meteor,0.45475244917378416
1size,"[0, 1]",ter,0.3028559687692624
1size,"[0, 1]",avg_n_tokens,10.055066079295154
1size,"[0, 1]",avg_n_stop_words,0.2394304490690033
1size,"[0, 1]",macro_avg_n_stop_words,0.2369284431691483
2size,"[0, 1]",bleu,39.66
2size,"[0, 1]",bleu_1,74.5
2size,"[0, 1]",bleu_2,48.8
2size,"[0, 1]",bleu_3,32.3
2size,"[0, 1]",bleu_4,21.0
2size,"[0, 1]",meteor,0.3976238903645973
2size,"[0, 1]",ter,0.4946926684769193
2size,"[0, 1]",avg_n_tokens,17.954154727793696
2size,"[0, 1]",avg_n_stop_words,0.2682732205553782
2size,"[0, 1]",macro_avg_n_stop_words,0.2675113579847863
3size,"[0, 1]",bleu,32.93
3size,"[0, 1]",bleu_1,71.2
3size,"[0, 1]",bleu_2,42.7
3size,"[0, 1]",bleu_3,25.9
3size,"[0, 1]",bleu_4,15.0
3size,"[0, 1]",meteor,0.374396020338035
3size,"[0, 1]",ter,0.5939857727958612
3size,"[0, 1]",avg_n_tokens,26.10103626943005
3size,"[0, 1]",avg_n_stop_words,0.28774193548387095
3size,"[0, 1]",macro_avg_n_stop_words,0.2880921951277888
4size,"[0, 1]",bleu,32.35
4size,"[0, 1]",bleu_1,70.3
4size,"[0, 1]",bleu_2,41.9
4size,"[0, 1]",bleu_3,25.2
4size,"[0, 1]",bleu_4,14.8
4size,"[0, 1]",meteor,0.3691450136949829
4size,"[0, 1]",ter,0.6362311801845556
4size,"[0, 1]",avg_n_tokens,34.87603305785124
4size,"[0, 1]",avg_n_stop_words,0.292259083728278
4size,"[0, 1]",macro_avg_n_stop_words,0.2975044713057006
5size,"[0, 1]",bleu,30.14
5size,"[0, 1]",bleu_1,69.8
5size,"[0, 1]",bleu_2,40.8
5size,"[0, 1]",bleu_3,22.8
5size,"[0, 1]",bleu_4,12.7
5size,"[0, 1]",meteor,0.36298692680938693
5size,"[0, 1]",ter,0.669954245043213
5size,"[0, 1]",avg_n_tokens,42.18490566037736
5size,"[0, 1]",avg_n_stop_words,0.30807764558547274
5size,"[0, 1]",macro_avg_n_stop_words,0.3122566035509632
6size,"[0, 1]",bleu,35.08
6size,"[0, 1]",bleu_1,74.6
6size,"[0, 1]",bleu_2,46.3
6size,"[0, 1]",bleu_3,27.5
6size,"[0, 1]",bleu_4,15.9
6size,"[0, 1]",meteor,0.39655764495625423
6size,"[0, 1]",ter,0.62147406733394
6size,"[0, 1]",avg_n_tokens,52.416666666666664
6size,"[0, 1]",avg_n_stop_words,0.31875993640699524
6size,"[0, 1]",macro_avg_n_stop_words,0.3205262967372739
7size,"[0, 1]",bleu,33.00
7size,"[0, 1]",bleu_1,71.6
7size,"[0, 1]",bleu_2,44.0
7size,"[0, 1]",bleu_3,25.7
7size,"[0, 1]",bleu_4,14.6
7size,"[0, 1]",meteor,0.3941703652378154
7size,"[0, 1]",ter,0.6744639376218323
7size,"[0, 1]",avg_n_tokens,58.61904761904762
7size,"[0, 1]",avg_n_stop_words,0.35580828594638503
7size,"[0, 1]",macro_avg_n_stop_words,0.35471776831423213
all-cat,"[0, 1]",bleu,35.23
all-cat,"[0, 1]",bleu_1,72.5
all-cat,"[0, 1]",bleu_2,44.9
all-cat,"[0, 1]",bleu_3,27.8
all-cat,"[0, 1]",bleu_4,17.0
all-cat,"[0, 1]",meteor,0.38265881668200014
all-cat,"[0, 1]",ter,0.5783110375580379
all-cat,"[0, 1]",avg_n_tokens,25.367346938775512
all-cat,"[0, 1]",avg_n_stop_words,0.28911377397637295
all-cat,"[0, 1]",macro_avg_n_stop_words,0.2782032179033714
new-cat,"[0, 1]",bleu,32.11
new-cat,"[0, 1]",bleu_1,70.9
new-cat,"[0, 1]",bleu_2,41.8
new-cat,"[0, 1]",bleu_3,24.9
new-cat,"[0, 1]",bleu_4,14.4
new-cat,"[0, 1]",meteor,0.363954408286505
new-cat,"[0, 1]",ter,0.5771049668459902
new-cat,"[0, 1]",avg_n_tokens,23.29405162738496
new-cat,"[0, 1]",avg_n_stop_words,0.26167188629245963
new-cat,"[0, 1]",macro_avg_n_stop_words,0.25280772776728755
old-cat,"[0, 1]",bleu,37.59
old-cat,"[0, 1]",bleu_1,73.7
old-cat,"[0, 1]",bleu_2,47.4
old-cat,"[0, 1]",bleu_3,30.1
old-cat,"[0, 1]",bleu_4,19.0
old-cat,"[0, 1]",meteor,0.3986480432271421
old-cat,"[0, 1]",ter,0.5793355580589623
old-cat,"[0, 1]",avg_n_tokens,27.26982492276004
old-cat,"[0, 1]",avg_n_stop_words,0.31062351297254426
old-cat,"[0, 1]",macro_avg_n_stop_words,0.3015063916533737
with-template,"[0, 1, 2]",bleu,44.74
with-template,"[0, 1, 2]",bleu_1,78.7
with-template,"[0, 1, 2]",bleu_2,54.2
with-template,"[0, 1, 2]",bleu_3,36.9
with-template,"[0, 1, 2]",bleu_4,25.4
with-template,"[0, 1, 2]",meteor,0.417269611285345
with-template,"[0, 1, 2]",ter,0.48785448494233485
with-template,"[0, 1, 2]",avg_n_tokens,20.37812911725955
with-template,"[0, 1, 2]",avg_n_stop_words,0.2982478825887373
with-template,"[0, 1, 2]",macro_avg_n_stop_words,0.2818473475247086
with-template,"[0, 1]",bleu,41.44
with-template,"[0, 1]",bleu_1,76.2
with-template,"[0, 1]",bleu_2,50.6
with-template,"[0, 1]",bleu_3,33.7
with-template,"[0, 1]",bleu_4,22.7
with-template,"[0, 1]",meteor,0.4075374971482338
with-template,"[0, 1]",ter,0.5097160970231532
with-template,"[0, 1]",avg_n_tokens,20.37812911725955
with-template,"[0, 1]",avg_n_stop_words,0.2982478825887373
with-template,"[0, 1]",macro_avg_n_stop_words,0.2818473475247086
