subset,references,metric,value
6size,"[0, 1, 2]",avg_n_stop_words,0.41051805337519626
6size,"[0, 1, 2]",macro_avg_n_stop_words,0.4110136486226228
6size,"[0, 1]",bleu,43.71
6size,"[0, 1]",bleu_1,73.9
6size,"[0, 1]",bleu_2,52.8
6size,"[0, 1]",bleu_3,36.5
6size,"[0, 1]",bleu_4,25.6
6size,"[0, 1]",meteor,0.4164108262369701
6size,"[0, 1]",ter,0.5796178343949044
6size,"[0, 1]",avg_n_tokens,53.083333333333336
6size,"[0, 1]",avg_n_stop_words,0.41051805337519626
6size,"[0, 1]",macro_avg_n_stop_words,0.4110136486226228
7size,"[0, 1, 2]",bleu,45.00
7size,"[0, 1, 2]",bleu_1,74.2
7size,"[0, 1, 2]",bleu_2,54.7
7size,"[0, 1, 2]",bleu_3,38.3
7size,"[0, 1, 2]",bleu_4,26.4
7size,"[0, 1, 2]",meteor,0.41955986312873256
7size,"[0, 1, 2]",ter,0.6061194754735308
7size,"[0, 1, 2]",avg_n_tokens,57.714285714285715
7size,"[0, 1, 2]",avg_n_stop_words,0.4166666666666667
7size,"[0, 1, 2]",macro_avg_n_stop_words,0.41719825842614067
7size,"[0, 1]",bleu,41.79
7size,"[0, 1]",bleu_1,71.5
7size,"[0, 1]",bleu_2,51.9
7size,"[0, 1]",bleu_3,35.0
7size,"[0, 1]",bleu_4,23.5
7size,"[0, 1]",meteor,0.40948061693057375
7size,"[0, 1]",ter,0.6091617933723197
7size,"[0, 1]",avg_n_tokens,57.714285714285715
7size,"[0, 1]",avg_n_stop_words,0.4166666666666667
7size,"[0, 1]",macro_avg_n_stop_words,0.41719825842614067
all-cat,"[0, 1, 2]",bleu,46.18
all-cat,"[0, 1, 2]",bleu_1,80.4
all-cat,"[0, 1, 2]",bleu_2,56.9
all-cat,"[0, 1, 2]",bleu_3,39.5
all-cat,"[0, 1, 2]",bleu_4,27.3
all-cat,"[0, 1, 2]",meteor,0.4054431491230286
all-cat,"[0, 1, 2]",ter,0.4738950568586321
all-cat,"[0, 1, 2]",avg_n_tokens,22.386680988184747
all-cat,"[0, 1, 2]",avg_n_stop_words,0.2682803953555321
all-cat,"[0, 1, 2]",macro_avg_n_stop_words,0.24576602589586743
all-cat,"[0, 1]",bleu,42.25
all-cat,"[0, 1]",bleu_1,77.9
all-cat,"[0, 1]",bleu_2,53.1
all-cat,"[0, 1]",bleu_3,35.8
all-cat,"[0, 1]",bleu_4,24.2
all-cat,"[0, 1]",meteor,0.3957874699066301
all-cat,"[0, 1]",ter,0.49498919689238263
all-cat,"[0, 1]",avg_n_tokens,22.386680988184747
all-cat,"[0, 1]",avg_n_stop_words,0.2682803953555321
all-cat,"[0, 1]",macro_avg_n_stop_words,0.24576602589586743
new-cat,"[0, 1, 2]",bleu,36.01
new-cat,"[0, 1, 2]",bleu_1,79.1
new-cat,"[0, 1, 2]",bleu_2,51.5
new-cat,"[0, 1, 2]",bleu_3,31.8
new-cat,"[0, 1, 2]",bleu_4,18.8
new-cat,"[0, 1, 2]",meteor,0.3773965737830648
new-cat,"[0, 1, 2]",ter,0.5019011406844103
new-cat,"[0, 1, 2]",avg_n_tokens,19.352413019079687
new-cat,"[0, 1, 2]",avg_n_stop_words,0.1511337934234182
new-cat,"[0, 1, 2]",macro_avg_n_stop_words,0.14401110696037991
new-cat,"[0, 1]",bleu,32.03
new-cat,"[0, 1]",bleu_1,76.3
new-cat,"[0, 1]",bleu_2,47.7
new-cat,"[0, 1]",bleu_3,28.3
new-cat,"[0, 1]",bleu_4,16.1
new-cat,"[0, 1]",meteor,0.36656949376455017
new-cat,"[0, 1]",ter,0.525459777305142
new-cat,"[0, 1]",avg_n_tokens,19.352413019079687
new-cat,"[0, 1]",avg_n_stop_words,0.1511337934234182
new-cat,"[0, 1]",macro_avg_n_stop_words,0.14401110696037991
old-cat,"[0, 1, 2]",bleu,51.95
old-cat,"[0, 1, 2]",bleu_1,81.3
old-cat,"[0, 1, 2]",bleu_2,60.7
old-cat,"[0, 1, 2]",bleu_3,44.7
old-cat,"[0, 1, 2]",bleu_4,33.0
old-cat,"[0, 1, 2]",meteor,0.42911269059453944
old-cat,"[0, 1, 2]",ter,0.45018334802012566
old-cat,"[0, 1, 2]",avg_n_tokens,25.170957775489185
old-cat,"[0, 1, 2]",avg_n_stop_words,0.350926721492574
old-cat,"[0, 1, 2]",macro_avg_n_stop_words,0.3391374293680819
old-cat,"[0, 1]",bleu,48.34
old-cat,"[0, 1]",bleu_1,79.1
old-cat,"[0, 1]",bleu_2,57.0
old-cat,"[0, 1]",bleu_3,41.0
old-cat,"[0, 1]",bleu_4,29.6
old-cat,"[0, 1]",meteor,0.4206461147350981
old-cat,"[0, 1]",ter,0.469105362722384
old-cat,"[0, 1]",avg_n_tokens,25.170957775489185
old-cat,"[0, 1]",avg_n_stop_words,0.350926721492574
old-cat,"[0, 1]",macro_avg_n_stop_words,0.3391374293680819
with-template,"[0, 1, 2]",bleu,56.53
with-template,"[0, 1, 2]",bleu_1,84.8
with-template,"[0, 1, 2]",bleu_2,64.5
with-template,"[0, 1, 2]",bleu_3,49.2
with-template,"[0, 1, 2]",bleu_4,37.9
with-template,"[0, 1, 2]",meteor,0.4398868755633405
with-template,"[0, 1, 2]",ter,0.3801049298541614
with-template,"[0, 1, 2]",avg_n_tokens,18.586297760210805
with-template,"[0, 1, 2]",avg_n_stop_words,0.3173601757992486
with-template,"[0, 1, 2]",macro_avg_n_stop_words,0.30569722662653404
with-template,"[0, 1]",bleu,51.80
with-template,"[0, 1]",bleu_1,82.8
with-template,"[0, 1]",bleu_2,60.4
with-template,"[0, 1]",bleu_3,44.8
with-template,"[0, 1]",bleu_4,33.7
with-template,"[0, 1]",meteor,0.42832122697136915
with-template,"[0, 1]",ter,0.4059399117971334
with-template,"[0, 1]",avg_n_tokens,18.586297760210805
with-template,"[0, 1]",avg_n_stop_words,0.3173601757992486
with-template,"[0, 1]",macro_avg_n_stop_words,0.30569722662653404
