subset,references,metric,value
1size,"[0, 1, 2]",bleu,63.47
1size,"[0, 1, 2]",bleu_1,91.7
1size,"[0, 1, 2]",bleu_2,74.8
1size,"[0, 1, 2]",bleu_3,60.9
1size,"[0, 1, 2]",bleu_4,51.0
1size,"[0, 1, 2]",meteor,0.48487130886949886
1size,"[0, 1, 2]",ter,0.24450766014326358
1size,"[0, 1, 2]",avg_n_tokens,9.486784140969164
1size,"[0, 1, 2]",avg_n_stop_words,0.2094265149756211
1size,"[0, 1, 2]",macro_avg_n_stop_words,0.20669192618379933
1size,"[0, 1]",bleu,57.39
1size,"[0, 1]",bleu_1,89.8
1size,"[0, 1]",bleu_2,70.3
1size,"[0, 1]",bleu_3,54.9
1size,"[0, 1]",bleu_4,44.0
1size,"[0, 1]",meteor,0.4677686972940399
1size,"[0, 1]",ter,0.2763509348674748
1size,"[0, 1]",avg_n_tokens,9.486784140969164
1size,"[0, 1]",avg_n_stop_words,0.2094265149756211
1size,"[0, 1]",macro_avg_n_stop_words,0.20669192618379933
2size,"[0, 1, 2]",bleu,45.44
2size,"[0, 1, 2]",bleu_1,75.0
2size,"[0, 1, 2]",bleu_2,53.9
2size,"[0, 1, 2]",bleu_3,38.4
2size,"[0, 1, 2]",bleu_4,27.4
2size,"[0, 1, 2]",meteor,0.4154237306342081
2size,"[0, 1, 2]",ter,0.4731803928040933
2size,"[0, 1, 2]",avg_n_tokens,17.851002865329512
2size,"[0, 1, 2]",avg_n_stop_words,0.21813804173354734
2size,"[0, 1, 2]",macro_avg_n_stop_words,0.2194875985483012
2size,"[0, 1]",bleu,41.94
2size,"[0, 1]",bleu_1,72.9
2size,"[0, 1]",bleu_2,50.2
2size,"[0, 1]",bleu_3,34.8
2size,"[0, 1]",bleu_4,24.3
2size,"[0, 1]",meteor,0.40430570340193356
2size,"[0, 1]",ter,0.5001234263144902
2size,"[0, 1]",avg_n_tokens,17.851002865329512
2size,"[0, 1]",avg_n_stop_words,0.21813804173354734
2size,"[0, 1]",macro_avg_n_stop_words,0.2194875985483012
3size,"[0, 1, 2]",bleu,40.15
3size,"[0, 1, 2]",bleu_1,71.8
3size,"[0, 1, 2]",bleu_2,49.1
3size,"[0, 1, 2]",bleu_3,33.4
3size,"[0, 1, 2]",bleu_4,22.0
3size,"[0, 1, 2]",meteor,0.3912741535516083
3size,"[0, 1, 2]",ter,0.5604223910349656
3size,"[0, 1, 2]",avg_n_tokens,25.989637305699482
3size,"[0, 1, 2]",avg_n_stop_words,0.22398325358851676
3size,"[0, 1, 2]",macro_avg_n_stop_words,0.2281178360370735
3size,"[0, 1]",bleu,36.32
3size,"[0, 1]",bleu_1,68.8
3size,"[0, 1]",bleu_2,45.1
3size,"[0, 1]",bleu_3,29.7
3size,"[0, 1]",bleu_4,18.9
3size,"[0, 1]",meteor,0.3802772057260645
3size,"[0, 1]",ter,0.5883811166199612
3size,"[0, 1]",avg_n_tokens,25.989637305699482
3size,"[0, 1]",avg_n_stop_words,0.22398325358851676
3size,"[0, 1]",macro_avg_n_stop_words,0.2281178360370735
4size,"[0, 1, 2]",bleu,40.61
4size,"[0, 1, 2]",bleu_1,71.0
4size,"[0, 1, 2]",bleu_2,49.0
4size,"[0, 1, 2]",bleu_3,33.7
4size,"[0, 1, 2]",bleu_4,23.1
4size,"[0, 1, 2]",meteor,0.3866193230857002
4size,"[0, 1, 2]",ter,0.5899495997628225
4size,"[0, 1, 2]",avg_n_tokens,33.85674931129476
4size,"[0, 1, 2]",avg_n_stop_words,0.2192026037428804
4size,"[0, 1, 2]",macro_avg_n_stop_words,0.22510705529083302
4size,"[0, 1]",bleu,37.37
4size,"[0, 1]",bleu_1,68.6
4size,"[0, 1]",bleu_2,45.4
4size,"[0, 1]",bleu_3,30.5
4size,"[0, 1]",bleu_4,20.6
4size,"[0, 1]",meteor,0.3776368883281927
4size,"[0, 1]",ter,0.6038235683694644
4size,"[0, 1]",avg_n_tokens,33.85674931129476
4size,"[0, 1]",avg_n_stop_words,0.2192026037428804
4size,"[0, 1]",macro_avg_n_stop_words,0.22510705529083302
5size,"[0, 1, 2]",bleu,37.17
5size,"[0, 1, 2]",bleu_1,70.0
5size,"[0, 1, 2]",bleu_2,46.6
5size,"[0, 1, 2]",bleu_3,30.4
5size,"[0, 1, 2]",bleu_4,19.2
5size,"[0, 1, 2]",meteor,0.3712402656646759
5size,"[0, 1, 2]",ter,0.6445830620008908
5size,"[0, 1, 2]",avg_n_tokens,41.011320754716984
5size,"[0, 1, 2]",avg_n_stop_words,0.2279168200220832
5size,"[0, 1, 2]",macro_avg_n_stop_words,0.23398643313465992
5size,"[0, 1]",bleu,34.70
5size,"[0, 1]",bleu_1,67.7
5size,"[0, 1]",bleu_2,43.7
5size,"[0, 1]",bleu_3,27.9
5size,"[0, 1]",bleu_4,17.5
5size,"[0, 1]",meteor,0.3648707629759209
5size,"[0, 1]",ter,0.6504321301474326
5size,"[0, 1]",avg_n_tokens,41.011320754716984
5size,"[0, 1]",avg_n_stop_words,0.2279168200220832
5size,"[0, 1]",macro_avg_n_stop_words,0.23398643313465992
6size,"[0, 1, 2]",bleu,45.23
6size,"[0, 1, 2]",bleu_1,75.0
6size,"[0, 1, 2]",bleu_2,53.3
6size,"[0, 1, 2]",bleu_3,37.7
6size,"[0, 1, 2]",bleu_4,27.8
6size,"[0, 1, 2]",meteor,0.39894327572517874
6size,"[0, 1, 2]",ter,0.5783458646616542
