subset,references,metric,value
1size,"[0, 1]",bleu_1,75.5
1size,"[0, 1]",bleu_2,55.5
1size,"[0, 1]",bleu_3,42.5
1size,"[0, 1]",bleu_4,32.6
1size,"[0, 1]",meteor,0.40381975756298
1size,"[0, 1]",ter,0.39778097390589684
1size,"[0, 1]",avg_n_tokens,10.788546255506608
1size,"[0, 1]",avg_n_stop_words,0.28358513679052677
1size,"[0, 1]",macro_avg_n_stop_words,0.28892397643708456
2size,"[0, 1]",bleu,41.06
2size,"[0, 1]",bleu_1,72.9
2size,"[0, 1]",bleu_2,50.3
2size,"[0, 1]",bleu_3,37.5
2size,"[0, 1]",bleu_4,28.8
2size,"[0, 1]",meteor,0.34597158110866255
2size,"[0, 1]",ter,0.5025919526042952
2size,"[0, 1]",avg_n_tokens,15.81375358166189
2size,"[0, 1]",avg_n_stop_words,0.2976988584888567
2size,"[0, 1]",macro_avg_n_stop_words,0.3049370321893447
3size,"[0, 1]",bleu,30.73
3size,"[0, 1]",bleu_1,68.1
3size,"[0, 1]",bleu_2,40.9
3size,"[0, 1]",bleu_3,26.6
3size,"[0, 1]",bleu_4,17.5
3size,"[0, 1]",meteor,0.2949321240105118
3size,"[0, 1]",ter,0.6212545807286053
3size,"[0, 1]",avg_n_tokens,21.528497409326423
3size,"[0, 1]",avg_n_stop_words,0.3271961492178099
3size,"[0, 1]",macro_avg_n_stop_words,0.32545542983523923
4size,"[0, 1]",bleu,32.50
4size,"[0, 1]",bleu_1,70.5
4size,"[0, 1]",bleu_2,44.9
4size,"[0, 1]",bleu_3,31.0
4size,"[0, 1]",bleu_4,22.0
4size,"[0, 1]",meteor,0.28581594089733336
4size,"[0, 1]",ter,0.6101814649653406
4size,"[0, 1]",avg_n_tokens,25.914600550964188
4size,"[0, 1]",avg_n_stop_words,0.3311363877963219
4size,"[0, 1]",macro_avg_n_stop_words,0.3391128843688276
5size,"[0, 1]",bleu,30.43
5size,"[0, 1]",bleu_1,70.1
5size,"[0, 1]",bleu_2,42.9
5size,"[0, 1]",bleu_3,28.5
5size,"[0, 1]",bleu_4,19.5
5size,"[0, 1]",meteor,0.2704904642695572
5size,"[0, 1]",ter,0.6371123538383325
5size,"[0, 1]",avg_n_tokens,30.664150943396226
