subset,references,metric,value
1size,"[0, 1]",bleu_1,85.4
1size,"[0, 1]",bleu_2,67.9
1size,"[0, 1]",bleu_3,54.5
1size,"[0, 1]",bleu_4,43.0
1size,"[0, 1]",meteor,0.45460616882259364
1size,"[0, 1]",ter,0.30799260324635297
1size,"[0, 1]",avg_n_tokens,9.927312775330396
1size,"[0, 1]",avg_n_stop_words,0.2533836254714888
1size,"[0, 1]",macro_avg_n_stop_words,0.25227791752929085
2size,"[0, 1]",bleu,46.92
2size,"[0, 1]",bleu_1,79.4
2size,"[0, 1]",bleu_2,55.5
2size,"[0, 1]",bleu_3,40.5
2size,"[0, 1]",bleu_4,30.0
2size,"[0, 1]",meteor,0.4077146713429356
2size,"[0, 1]",ter,0.42080144820209003
2size,"[0, 1]",avg_n_tokens,16.598853868194844
2size,"[0, 1]",avg_n_stop_words,0.3017434835145866
2size,"[0, 1]",macro_avg_n_stop_words,0.3063103538663152
3size,"[0, 1]",bleu,39.02
3size,"[0, 1]",bleu_1,77.2
3size,"[0, 1]",bleu_2,50.2
3size,"[0, 1]",bleu_3,33.2
3size,"[0, 1]",bleu_4,22.1
3size,"[0, 1]",meteor,0.36573816296575623
3size,"[0, 1]",ter,0.4963354171157577
3size,"[0, 1]",avg_n_tokens,22.3419689119171
3size,"[0, 1]",avg_n_stop_words,0.3178339517625232
3size,"[0, 1]",macro_avg_n_stop_words,0.3193558302726672
4size,"[0, 1]",bleu,38.09
4size,"[0, 1]",bleu_1,75.9
4size,"[0, 1]",bleu_2,48.9
4size,"[0, 1]",bleu_3,32.3
4size,"[0, 1]",bleu_4,21.8
4size,"[0, 1]",meteor,0.35051873755581753
4size,"[0, 1]",ter,0.5418340765596715
4size,"[0, 1]",avg_n_tokens,28.953168044077135
4size,"[0, 1]",avg_n_stop_words,0.3263558515699334
4size,"[0, 1]",macro_avg_n_stop_words,0.32940926293488776
5size,"[0, 1]",bleu,33.19
5size,"[0, 1]",bleu_1,73.2
5size,"[0, 1]",bleu_2,44.8
5size,"[0, 1]",bleu_3,27.1
5size,"[0, 1]",bleu_4,16.2
5size,"[0, 1]",meteor,0.321199559131469
5size,"[0, 1]",ter,0.5903406202338587
5size,"[0, 1]",avg_n_tokens,34.79622641509434
5size,"[0, 1]",avg_n_stop_words,0.3526732458518599
5size,"[0, 1]",macro_avg_n_stop_words,0.3535691171003809
6size,"[0, 1]",bleu,47.68
6size,"[0, 1]",bleu_1,80.0
6size,"[0, 1]",bleu_2,55.9
6size,"[0, 1]",bleu_3,41.0
6size,"[0, 1]",bleu_4,30.5
6size,"[0, 1]",meteor,0.37364080367058056
6size,"[0, 1]",ter,0.4813466787989081
6size,"[0, 1]",avg_n_tokens,43.958333333333336
6size,"[0, 1]",avg_n_stop_words,0.34976303317535545
6size,"[0, 1]",macro_avg_n_stop_words,0.34586083451713084
7size,"[0, 1]",bleu,45.28
7size,"[0, 1]",bleu_1,79.7
7size,"[0, 1]",bleu_2,58.0
7size,"[0, 1]",bleu_3,41.9
7size,"[0, 1]",bleu_4,30.7
7size,"[0, 1]",meteor,0.3527376524577652
7size,"[0, 1]",ter,0.4844054580896686
7size,"[0, 1]",avg_n_tokens,44.38095238095238
7size,"[0, 1]",avg_n_stop_words,0.3648068669527897
7size,"[0, 1]",macro_avg_n_stop_words,0.3621212873291817
all-cat,"[0, 1]",bleu,40.86
all-cat,"[0, 1]",bleu_1,77.3
all-cat,"[0, 1]",bleu_2,51.5
all-cat,"[0, 1]",bleu_3,35.0
all-cat,"[0, 1]",bleu_4,24.0
all-cat,"[0, 1]",meteor,0.36654068708310605
all-cat,"[0, 1]",ter,0.4971498184158507
all-cat,"[0, 1]",avg_n_tokens,21.827067669172934
all-cat,"[0, 1]",avg_n_stop_words,0.32040746026278233
all-cat,"[0, 1]",macro_avg_n_stop_words,0.3082086058443509
new-cat,"[0, 1]",bleu,29.75
new-cat,"[0, 1]",bleu_1,69.6
new-cat,"[0, 1]",bleu_2,40.7
new-cat,"[0, 1]",bleu_3,24.2
new-cat,"[0, 1]",bleu_4,14.1
new-cat,"[0, 1]",meteor,0.32238176362733656
new-cat,"[0, 1]",ter,0.5816589515826348
new-cat,"[0, 1]",avg_n_tokens,20.819304152637486
new-cat,"[0, 1]",avg_n_stop_words,0.32420485175202157
new-cat,"[0, 1]",macro_avg_n_stop_words,0.3062522606577341
old-cat,"[0, 1]",bleu,49.73
old-cat,"[0, 1]",bleu_1,83.8
old-cat,"[0, 1]",bleu_2,60.6
old-cat,"[0, 1]",bleu_3,44.0
old-cat,"[0, 1]",bleu_4,32.2
old-cat,"[0, 1]",meteor,0.40508440783387195
old-cat,"[0, 1]",ter,0.4253618721703828
old-cat,"[0, 1]",avg_n_tokens,22.751802265705457
old-cat,"[0, 1]",avg_n_stop_words,0.31721890277023357
old-cat,"[0, 1]",macro_avg_n_stop_words,0.31000376914123734
