,bleu,meteor,ter,elapsed_time,dp_scorer_n,sa_scorer_n,tems_lm_n,referrer_lm_n,txs_lm_n,max_dp,max_sa,max_refs,max_tems
-3790873431100837917,60.58,0.4421486342749303,0.3487425344330233,44.9655361175537,3,3,3,4,4,10,5,1,2
8312543058176234175,59.94,0.4357077547716485,0.35332547840572065,44.3040046691894,3,4,4,3,3,5,5,2,1
7309617401466521189,60.3,0.4389199902679418,0.3545443464835657,10.49574923515319,4,3,4,4,3,5,10,1,1
-6631954385562429897,59.95,0.4375158654288293,0.3558119692845245,10.23134875297546,4,3,3,4,4,5,10,1,1
6594297579914796121,60.24,0.4401729983525784,0.3497663836184131,98.1657743453979,3,3,3,4,4,5,10,2,1
8290616510004220430,60.13,0.4408390643655635,0.3499614025108683,93.2381076812744,3,4,3,3,4,10,5,2,1
-1600440369534676231,60.3,0.4388678583279716,0.3549343842684761,7.29972887039184,4,4,4,4,3,5,5,1,1
3097944731185154282,60.05,0.4358122412541647,0.34781619469386105,1954.81350660324,4,4,3,3,3,5,10,2,2
3780111537807524283,60.61,0.43881302436045777,0.35025393084955114,44.74348640441894,3,4,4,4,3,5,10,1,2
7361215504414547221,59.72,0.4337732447627053,0.3523016292203308,574.60654258728,4,3,4,3,3,5,5,2,2
6898278232506876436,59.9,0.4386118336739007,0.3518140819891928,94.6479840278625,4,4,3,3,4,10,5,2,1
-4749677098005283230,61.03,0.4424060575017261,0.34464713769146393,568.849431037902,3,3,4,4,4,5,5,2,2
5860656533869886706,60.98,0.4421434663552729,0.3498638930646407,46.5376884937286,3,4,4,3,4,5,5,2,1
515563441019854764,61.21,0.4431819631091212,0.3443546093527811,1960.170378684997,4,3,4,4,4,5,10,2,2
-2096125511474327132,60.59,0.4422321063756416,0.3507414780806892,86.98171210289,3,4,4,3,4,10,10,1,2
-5936367094003748512,60.86,0.4424343011308979,0.3474261569089506,44.7576525211334,4,3,3,4,4,10,5,1,2
-6381810587436448600,60.41,0.4410998629676845,0.3507902328038029,96.010088443756,3,3,4,4,4,10,5,2,1
-7124796939289271643,60.56,0.4417927355708187,0.35400804452931384,16.96676969528198,3,4,4,3,4,10,10,1,1
-8616766280968672675,58.81,0.4323652387482483,0.3562995165156625,90.134682893753,4,4,3,3,3,10,5,2,1
-8757273321853587577,60.25,0.4395777097534409,0.3490350627717061,100.2771613597869,4,4,3,4,4,5,10,2,1
3883796638562868344,59.39,0.4328526591662264,0.3512777800349411,1224.820094823837,4,3,3,4,3,10,5,2,2
722169698339983289,60.95,0.4424640972359188,0.34464713769146393,1431.19245648384,3,4,4,4,4,10,5,2,2
4246665953200374103,59.22,0.43153102263057785,0.3570308373623696,605.592187643051,3,4,4,4,3,5,5,2,2
-4917414472451566756,60.57,0.44067405311521657,0.3538130256368587,6.99544191360473,4,3,4,3,4,5,5,1,1
-6837614524666880220,59.36,0.4337412160336062,0.3553244220533865,188.7552778720855,3,4,4,4,3,10,10,2,1
-5489862081236724889,60.09,0.4381404599560194,0.3493275911103889,45.1750774383544,3,3,3,3,3,10,5,1,2
4246270901981393160,60.57,0.4409739937657791,0.35342298785194826,10.9035379886627,4,4,4,3,4,5,10,1,1
-4655890164828308596,58.98,0.4312901566885099,0.3563482712387763,1363.661960601806,3,4,4,4,3,10,5,2,2
501070653361841264,60.88,0.4419996867810341,0.35005891195709593,96.2515935897827,4,3,4,3,4,5,10,2,1
-1852763614651068230,60.78,0.4420337724169193,0.34659732661601594,1957.934153795242,4,3,3,3,4,5,10,2,2
-3335801284202564181,59.82,0.4370491405491143,0.35742087514728005,6.961208581924438,4,4,3,4,4,5,5,1,1
5458758332025930280,60.22,0.4388278680678368,0.3554219314996141,12.42062592506408,3,3,4,4,3,10,5,1,1
-2937747154930169816,60.55,0.441762431780509,0.35400804452931384,11.80727839469909,3,3,4,3,4,10,5,1,1
5917956018286286014,59.03,0.4328563254346172,0.3559094787307521,95.7475593090057,4,4,3,4,3,5,10,2,1
1400519047996341008,60.68,0.4424308326316805,0.3484012513712267,45.2769422531127,4,3,4,3,4,5,10,1,2
7945207030104616991,59.89,0.4345534230740253,0.3494738552797303,1981.29251384735,4,4,3,4,3,5,10,2,2
-6657375261092461202,59.48,0.4357546050859976,0.35664079957745914,10.14584612846374,4,3,3,4,3,5,10,1,1
2335344576628575889,60.59,0.4406377793960553,0.35352049729817586,7.08675861358642,4,4,4,3,4,5,5,1,1
-3275907117502842245,60.12,0.4378105872409444,0.3530817047901516,9.7352030277252,3,4,4,3,3,5,10,1,1
2299742340673650437,59.43,0.4335578127472162,0.35093649697314433,1210.328618526458,4,3,3,3,3,10,5,2,2
-4947230528192902931,60.65,0.4415576416136425,0.3457684963230814,1498.053732156753,4,4,3,3,4,10,5,2,2
-4761740690000372095,61.24,0.4432286855135419,0.3440620810140983,2102.32264971733,4,4,4,4,4,5,10,2,2
-6206763903224955271,60.73,0.4410742323121277,0.3495713647259579,85.95393037796,4,4,3,3,4,10,10,1,2
8624919450747191931,59.77,0.434174503704601,0.3501076666802097,589.465325355529,4,3,3,4,3,5,5,2,2
-7908229557886718118,60.04,0.4356679919042076,0.3508389875269168,520.94271993637,3,3,4,3,3,5,5,2,2
560014372842920941,60.64,0.4423409964257054,0.3545443464835657,12.25038146972656,3,3,4,4,4,10,5,1,1
-3295878435167922565,59.28,0.4332517735049605,0.35659204485434537,186.4770231246948,4,3,4,4,3,10,10,2,1
8808957484059133060,59.84,0.4359401158645441,0.352740421728355,89.7622923851013,3,4,4,3,3,10,5,2,1
2593896435682986697,60.23,0.4382186448610939,0.3518140819891928,11.04946374893188,4,4,4,3,3,5,10,1,1
-7736229754955448314,59.27,0.4325988651165137,0.35025393084955114,3893.62719488143,3,3,3,4,3,10,10,2,2
5375132464162632893,59.57,0.4339046532708636,0.3513752894811686,1802.28152251243,3,4,3,4,3,5,10,2,2
7140533507221345284,60.18,0.4379971366081865,0.35196034615853417,10.1802420616149,4,3,4,3,3,5,10,1,1
9016418910883642875,59.01,0.4325919494112609,0.35654329013123154,47.2653627395629,4,4,3,4,3,5,5,2,1
4358104889128546145,60.73,0.4417313312686555,0.3545443464835657,9.96704030036926,4,4,4,4,4,5,10,1,1
8592102904312342594,59.91,0.4365067196783501,0.3551781578840451,17.0033304691314,4,4,4,3,3,10,10,1,1
8479079240597839446,60.18,0.4378615173998079,0.35352049729817586,6.849500179290771,3,3,4,3,3,5,5,1,1
2066177482135045662,60.67,0.4420585134624248,0.3558119692845245,6.896565437316894,3,3,4,4,4,5,5,1,1
-7894780571355067240,60.55,0.4406416328679578,0.34737740218583685,1512.213684320449,4,4,3,4,4,10,5,2,2
3401466444402053398,60.45,0.4414858260687403,0.3514727989273962,23.15373563766479,3,4,4,3,4,5,5,1,2
-2695425335236257909,58.73,0.4314522994354827,0.3570795920854833,188.364777803421,3,4,3,4,3,10,10,2,1
7664916025638744922,60.15,0.4380458582042409,0.35586072400763835,9.67950916290283,4,3,3,3,4,5,10,1,1
5002552326609878609,59.98,0.4371336528167294,0.3514727989273962,44.6920456886291,3,3,3,3,3,5,10,1,2
3538828422987880884,59.51,0.4341102469090372,0.35639702596189016,47.31921815872192,4,4,4,4,3,5,5,2,1
2474595873535358817,59.99,0.4359922161987793,0.3515703083736238,92.0621750354766,4,3,4,3,3,5,10,2,1
3635501084991740407,60.13,0.4389671710917416,0.3563482712387763,16.78747391700744,3,4,3,4,4,10,10,1,1
-2290391163882700352,59.91,0.43675749983475376,0.3580059318246456,16.66164827346801,4,4,3,3,4,10,10,1,1
6238539414578399976,59.92,0.4361134220254552,0.35288668589769645,44.03597235679626,4,3,4,3,3,5,5,2,1
5433546827604526444,60.82,0.4430697046113569,0.3484987608174543,45.64410519599914,3,3,4,4,4,10,5,1,2
-5214347003293854974,60.44,0.4412409043204159,0.35035144029577875,45.7317018508911,3,3,3,3,4,10,5,1,2
5812143447903902800,58.79,0.4317574916103323,0.3582009507171008,94.1915388107299,3,4,3,4,3,5,10,2,1
-9135288465267816035,60.48,0.4406272280189607,0.34659732661601594,1811.665832757949,3,3,3,3,4,5,10,2,2
-2264502593001712554,59.48,0.4360039624316173,0.3567870637468006,19.2457489967346,3,3,3,4,3,10,10,1,1
-4693522563767741860,60.44,0.4411872683297836,0.3503026855726649,191.8845167160034,3,3,4,4,4,10,10,2,1
-3090681677006071333,60.27,0.4379961104936351,0.3487425344330233,24.4446940422058,4,4,3,4,3,5,5,1,2
-3324429057754492241,60.57,0.44219408687982736,0.3482062324787715,45.23132991790771,3,4,3,4,4,10,5,1,2
-9013729599142023255,60.95,0.4423170414057868,0.3499126477877545,46.2055819034576,4,3,4,3,4,5,5,2,1
-4097089999832395487,60.8,0.4430489193630171,0.3496201194490717,93.1875619888305,3,4,4,3,4,10,5,2,1
-3303234265224482906,60.34,0.43856842915085664,0.347328647462723,23.7561378479003,4,4,3,3,3,5,5,1,2
6363507060444293402,59.73,0.4338957991970732,0.35005891195709593,685.806766748428,4,4,3,4,3,5,5,2,2
-3487623369778368049,59.33,0.4327682425749492,0.35639702596189016,93.7746038436889,3,4,4,4,3,5,10,2,1
-6163409857200615605,60.97,0.4416956181347495,0.3459147604924228,1503.336048603057,4,4,4,4,4,10,5,2,2
-5010767490025407593,61.16,0.4435251299617801,0.3437207979523017,1282.008655309677,4,3,4,3,4,10,5,2,2
6538290786596471995,60.51,0.4413471746139775,0.3544955917604519,6.81928539276123,3,3,4,3,4,5,5,1,1
6064183732232195024,58.77,0.4322013562931665,0.3558119692845245,188.947392463684,4,4,3,3,3,10,10,2,1
-7698397629360687,60.61,0.43968630706709055,0.3502051761264373,45.776064872741,3,3,4,4,3,10,5,1,2
6773536922113550839,60.87,0.4424241792941061,0.3486937797099095,45.0280673503875,4,4,4,3,4,10,5,1,2
-4128596012314405065,59.15,0.4325822075981807,0.3550806484378175,3923.982469320297,4,3,4,3,3,10,10,2,2
-2411389566206606139,59.66,0.432894275879654,0.3539592898062001,1880.15133714675,4,3,4,4,3,5,10,2,2
-5812363876490049343,60.33,0.43867979776860505,0.3506927233575753,86.473398923873,3,4,4,3,3,10,10,1,2
-5832804137244976425,60.27,0.4382777040288036,0.3499614025108683,86.59992885589,4,4,4,3,3,10,10,1,2
6723161450004864718,60.11,0.4408048218200049,0.3496688741721855,91.677133321762,3,3,3,3,4,10,5,2,1
-1400793374560210102,59.54,0.4355109234964181,0.3557144598382969,10.97663569450378,4,4,3,3,3,5,10,1,1
643426730991568314,60.15,0.4375251019343159,0.3562507617925487,9.635962486267,3,4,4,4,3,5,10,1,1
-2910665615266706445,60.22,0.4399703224211605,0.3489375533254785,96.3674836158752,4,3,3,3,4,5,10,2,1
-2440518657922353972,60.7,0.4415593338144729,0.3545443464835657,10.15336561203,4,3,4,4,4,5,10,1,1
5657078485653742592,59.68,0.4339378491480311,0.3523016292203308,675.994556427,4,4,4,3,3,5,5,2,2
7928014432252703857,61.34,0.444811590336498,0.3428919676593671,710.39968991279,4,4,4,3,4,5,5,2,2
1715755978781916705,60.58,0.4407964320247027,0.3459635152155366,564.777712583541,3,3,3,4,4,5,5,2,2
-508078785393569870,59.19,0.433527755337116,0.3546906106529071,92.2121052742004,4,3,3,3,3,5,10,2,1
8712258085058018479,59.0,0.4327018627546806,0.35644578068500393,92.5114121437072,4,3,3,4,3,5,10,2,1
3770725834111171293,59.29,0.4349995213002696,0.3570795920854833,16.7461333274841,4,3,3,4,3,10,10,1,1
8378179080522319490,60.11,0.4380264240192243,0.3508389875269168,45.00611305236816,3,4,3,4,3,10,5,1,2
5107182090557424204,59.31,0.43516004762036936,0.3581034412708732,6.61680197715759,3,4,3,4,3,5,5,1,1
7095120714382614975,59.54,0.4355754406279438,0.3580059318246456,17.44587659835815,3,3,3,3,3,10,10,1,1
-961385902960670932,58.82,0.4323719135941308,0.3561532523463211,85.9916279315948,4,3,3,3,3,10,5,2,1
8419257532844007972,59.72,0.4340931999221715,0.35200910088164794,1843.919355154037,4,3,4,3,3,5,10,2,2
118768331319240808,58.83,0.4317928639686213,0.35746962987039377,90.897494077682,4,4,3,4,3,10,5,2,1
-4818839881595172103,60.17,0.4385384443566738,0.35576321456141075,19.700917482376,3,3,4,4,3,10,10,1,1
3496647848478823751,59.43,0.43352939478919705,0.3562507617925487,90.7000830173492,4,4,4,4,3,10,5,2,1
-4892353276208847911,59.43,0.4331590605144474,0.35113151586559954,1429.448717355728,4,4,3,4,3,10,5,2,2
-6980298902191320663,60.5,0.4416155406520577,0.3546906106529071,19.339777469635,3,3,4,3,4,10,10,1,1
8593655002133570269,59.88,0.4352980699768324,0.3493763458335027,522.596604824066,3,3,3,3,3,5,5,2,2
5439020457666249935,60.68,0.4395190836221444,0.3477674399707473,45.8250873088836,4,4,4,4,3,10,5,1,2
1630902924898709429,59.32,0.433285839481142,0.3559094787307521,89.345247983932,3,4,4,4,3,10,5,2,1
3335347397170292411,60.15,0.4392090050799426,0.3562507617925487,19.5894749164581,3,3,3,4,4,10,10,1,1
7710124451930112553,59.85,0.4383429187804641,0.3519115914354204,95.9239921569824,4,4,3,4,4,10,5,2,1
-6002954999004657927,60.02,0.4374543913644375,0.35093649697314433,23.11554837226867,3,4,3,4,3,5,5,1,2
-1197902156833226287,60.11,0.4374992240567676,0.3503026855726649,43.49209308624267,4,3,3,4,3,10,5,1,2
3527743483257848848,59.69,0.43316952091658456,0.35332547840572065,1980.849670648574,4,4,4,4,3,5,10,2,2
7205550005184352575,60.64,0.4411519142693522,0.3485962702636819,23.57142829895019,4,4,3,3,4,5,5,1,2
6708147255298125267,60.69,0.4409903015667867,0.3496688741721855,194.3916373252868,4,3,4,3,4,10,10,2,1
-7826870271042391505,60.32,0.43778940132148997,0.3492788363872751,23.05573773384094,3,3,4,3,3,5,5,1,2
-5685557599155950835,59.6,0.435577913590974,0.3516678178198514,1349.7818741798,3,4,4,3,3,10,5,2,2
5206356556284687144,60.28,0.4402456213761896,0.3501076666802097,98.630222797393,3,4,3,3,4,5,10,2,1
-3684312439047928950,60.15,0.4394899097299158,0.3494738552797303,49.6000742912292,4,4,3,4,4,5,5,2,1
-6691381389538052636,59.88,0.4370501949396376,0.357908422378418,11.46939539909362,4,3,3,3,4,10,5,1,1
-1941329551504449909,60.95,0.4423595096556162,0.34484215658391915,728.645869493484,4,4,3,4,4,5,5,2,2
-1971230464732511579,60.38,0.4386710701607179,0.3504977044651201,93.3453037738,3,3,4,3,3,10,10,1,2
6150309756374549167,60.18,0.4401474832519681,0.3494738552797303,193.1301002502441,3,3,3,4,4,10,10,2,1
-7471580911456716106,59.21,0.4339892679444164,0.35376427091374485,187.829025030136,3,4,3,3,3,10,10,2,1
-5860511406005062333,60.15,0.4374890492588837,0.3562995165156625,6.79498767852783,3,4,4,4,3,5,5,1,1
-6756108106805362092,60.69,0.4420912427546966,0.3544955917604519,16.95606899261474,3,4,4,4,4,10,10,1,1
-7125895628620005461,60.85,0.4421800908168223,0.3488400438792509,23.31260132789611,4,3,3,4,4,5,5,1,2
508273363583113269,60.8,0.4417310596275991,0.34835249664811285,86.5439608097076,4,3,3,4,4,10,10,1,2
4954796417866732971,60.63,0.4390074231310574,0.3504001950188925,45.5749855041503,3,3,4,4,3,5,10,1,2
7166817279424090604,60.33,0.439822500960824,0.3516678178198514,44.6803610324859,3,3,3,3,4,5,10,1,2
-1790156120050918946,60.17,0.4383750311039503,0.35093649697314433,44.7194080352783,3,3,3,4,3,10,5,1,2
810995297151931049,59.37,0.4337251006835356,0.3552756673302727,183.0953428745269,3,3,4,4,3,10,10,2,1
-8383358580390560487,59.51,0.43340282069943065,0.3518140819891928,1752.3852958679,3,3,3,4,3,5,10,2,2
1194501131775349786,59.69,0.43506357830646253,0.3489375533254785,3779.63508963584,3,3,3,3,3,10,10,2,2
837616057328458328,59.36,0.4334359749571622,0.35098525169625816,3924.4066107273,4,3,3,3,3,10,10,2,2
6336433849715211592,60.5,0.43911482529791335,0.3513752894811686,87.9582831859588,3,4,4,4,3,10,10,1,2
-7520612942922874976,59.17,0.4344106475421132,0.3581034412708732,16.6465637683868,4,3,3,3,3,10,10,1,1
-3464583557383004317,60.44,0.44151678118850013,0.3471336285702678,4312.36126995086,3,4,3,3,4,10,10,2,2
8428876579702531023,59.95,0.4352329924925552,0.34835249664811285,676.815985441207,4,4,3,3,3,5,5,2,2
-7714295685317085638,61.1,0.44337635214741106,0.3445008735221225,1492.061648130416,4,4,4,3,4,10,5,2,2
-2207634451771656367,58.74,0.4317284356994456,0.3582009507171008,43.0432863235473,3,3,3,4,3,5,5,2,1
4286502151636167298,60.54,0.4410958265060329,0.3549831389915899,9.69474387168884,3,3,4,3,4,5,10,1,1
2988198281149020806,60.56,0.4386431182142548,0.3497663836184131,87.6459877490997,4,4,4,4,3,10,10,1,2
-472752917758666401,60.03,0.43851976982794894,0.35737212042416616,11.4570710659027,3,4,3,3,4,10,5,1,1
1690761971027637026,60.62,0.4388502384701049,0.3486937797099095,44.1292786598205,4,3,4,4,3,10,5,1,2
7619366002489349992,58.96,0.431286581070628,0.3561044976232073,4285.374264478683,3,4,4,4,3,10,10,2,2
6411398300987905959,60.37,0.4408818395016032,0.3515703083736238,86.5116906166076,3,4,3,3,4,10,10,1,2
1886921746891102934,60.39,0.44131382271160746,0.34684110023158504,1427.9747436046,3,4,3,4,4,10,5,2,2
-162561936630842133,59.1,0.4339735360308595,0.35439808231422426,89.208593130111,3,4,3,3,3,10,5,2,1
3919983281281081774,60.38,0.4388642169265601,0.3487912891561371,44.7870995998382,4,4,4,3,3,10,5,1,2
-6557598651521427714,60.65,0.4411003358110616,0.3490838174948199,95.9483952522277,4,4,4,4,4,10,5,2,1
8219954283637836099,60.32,0.4381632870094286,0.34898630804859226,23.0711600780487,3,4,4,3,3,5,5,1,2
2560011892055921431,60.68,0.4416266215698569,0.3557144598382969,9.75874829292297,3,4,4,4,4,5,10,1,1
-9212743632708483361,60.6,0.44062691959994943,0.352984195343924,11.71243715286254,4,3,4,3,4,10,5,1,1
2450762285832603307,59.14,0.4326566063634628,0.3553244220533865,1404.720119953155,4,4,4,3,3,10,5,2,2
-5767447694054366388,59.95,0.43819359379129297,0.3572258562548248,6.60111808776855,3,4,3,3,4,5,5,1,1
-1223251930754176781,60.03,0.4368520105465633,0.3539592898062001,11.78170013427734,4,4,4,3,3,10,5,1,1
-90472961534196804,59.47,0.4350681752001741,0.3589322715638078,9.48558473587036,3,3,3,3,3,5,10,1,1
-5021874337320916616,60.16,0.4385279433284813,0.3545931012066795,17.06143689155578,3,4,4,3,3,10,10,1,1
-7955545428607915326,60.75,0.4412168439699717,0.35347174257506203,17.0662946701049,4,4,4,4,4,10,10,1,1
5975962573815324715,60.01,0.4356330904890627,0.3482062324787715,1847.802657604217,4,3,3,3,3,5,10,2,2
-350005648016206970,60.92,0.4420415084109716,0.3457197415999676,2053.672267675,4,4,3,4,4,5,10,2,2
-2308260046193693260,60.05,0.4374435108840092,0.35108276114248577,44.4051723480224,3,4,3,4,3,5,10,1,2
2954901370323929096,60.69,0.4423729045585686,0.35015642140332354,197.1987698078155,3,4,4,3,4,10,10,2,1
2445450319943668249,59.52,0.4345165099052901,0.3562995165156625,44.42590236663818,4,3,4,4,3,5,5,2,1
-502208344674016258,60.38,0.4407467508073876,0.3471336285702678,4394.826798677444,3,4,3,4,4,10,10,2,2
-5078649950072717547,60.53,0.4407047297608025,0.34659732661601594,1900.649947166442,3,4,3,3,4,5,10,2,2
-4426670333287584658,61.13,0.4429096313220727,0.3442570999065535,4149.82117700576,4,3,4,3,4,10,10,2,2
-7211146888536224435,60.74,0.4415907011095799,0.3481087230325439,43.78881454467773,4,3,3,3,4,10,5,1,2
104993874324067162,60.99,0.4412538597821827,0.3459635152155366,4478.86734819412,4,4,4,4,4,10,10,2,2
8601192889663886592,60.25,0.4382977053433096,0.3492788363872751,45.5470283031463,4,4,3,4,3,10,5,1,2
-8665107098866965831,60.62,0.44062871085814415,0.3467923455084712,1293.771240711212,4,3,3,4,4,10,5,2,2
307016321671720451,60.03,0.4356043157535553,0.35035144029577875,1726.297071695327,3,3,4,3,3,5,10,2,2
2756883031158241397,60.18,0.4378777773051293,0.3518140819891928,7.1116178035736,4,3,4,3,3,5,5,1,1
-3080972120787326866,59.18,0.4315486811990957,0.35659204485434537,1834.508604526519,3,4,4,4,3,5,10,2,2
-8619452492773256982,59.99,0.4382408719272859,0.35727461097793856,16.59466385841369,3,4,3,3,4,10,10,1,1
991004883694927182,59.21,0.4327029000911376,0.3546418559297933,1200.01696801185,4,3,4,3,3,10,5,2,2
-5223748810021533287,59.98,0.43757323994249997,0.3502051761264373,84.0931251049041,4,3,3,3,3,10,10,1,2
-3889488182506626294,60.97,0.4423478073059193,0.3452321943688296,619.799464464187,4,3,3,4,4,5,5,2,2
3993982742192952808,61.29,0.44450180265338013,0.3431357412749361,2062.75995659828,4,4,4,3,4,5,10,2,2
8629551768449020734,60.61,0.4414836776939116,0.35093649697314433,44.8898839950561,3,4,4,4,4,5,10,1,2
3073551657882194739,60.76,0.44139128636438174,0.3491813269410475,46.174963235855,3,4,4,4,4,5,5,2,1
-2033000756347064138,60.96,0.4427583345098979,0.3481087230325439,46.1565799713134,4,4,4,4,4,10,5,1,2
3557196060194618723,59.21,0.4336512719652062,0.35430057286799665,94.78966140747,4,4,3,3,3,5,10,2,1
5366190598747089688,60.22,0.4390612807553024,0.356933327916142,9.55446672439575,3,3,3,4,4,5,10,1,1
1717841817438124216,60.65,0.4408813405953073,0.3469873644009264,4393.74380660057,4,4,3,3,4,10,10,2,2
1031523638718473322,58.72,0.4315375038584259,0.3568358184699144,90.708443641662,3,3,3,4,3,10,5,2,1
4869185762365939349,60.87,0.4398549812361684,0.3474261569089506,48.1253261566162,4,4,4,4,3,5,10,1,2
1197454944181595742,60.71,0.4415268505287425,0.34835249664811285,22.91236329078674,4,3,3,3,4,5,5,1,2
1248792893308794774,60.23,0.43973499807988736,0.3487912891561371,96.7836031913757,4,3,3,4,4,5,10,2,1
-791716463215817409,59.51,0.4359557993405252,0.35654329013123154,10.54310321807861,4,4,3,4,3,5,10,1,1
3399555714151530582,60.59,0.4419022999850921,0.3487912891561371,90.0336527824401,3,3,3,4,4,10,10,1,2
6250241187091152276,60.1,0.4379084938941367,0.35654329013123154,16.94202256202697,4,3,3,4,4,10,10,1,1
8445587578732971608,59.36,0.4353538876283292,0.3587860073944664,6.7339596748352,3,3,3,4,3,5,5,1,1
5404413105509442941,59.36,0.43529024635059815,0.35888351684069403,9.63682627677917,3,3,3,4,3,5,10,1,1
1227388609810802099,59.49,0.4362749215013688,0.35659204485434537,12.31455016136169,3,3,3,4,3,10,5,1,1
-6565530690782886743,59.76,0.4342385877326129,0.35152155365051,1971.004301309585,4,4,4,3,3,5,10,2,2
8976009704649130157,59.19,0.4343228143631621,0.3582009507171008,11.53926587104797,4,3,3,3,3,10,5,1,1
3916163803167414967,60.39,0.4407793949272503,0.3516678178198514,88.7308590412139,3,3,3,3,4,10,10,1,2
-1482533923726083407,59.7,0.43583187778143945,0.3508389875269168,1235.806512355804,3,3,4,3,3,10,5,2,2
2335143460827800236,60.48,0.4392492903671901,0.34801121358631626,46.0803122520446,4,4,4,3,3,5,10,1,2
6644778485666045810,60.84,0.4419561583232388,0.3486450249867957,86.3842387199401,4,3,4,4,4,10,10,1,2
477902306460293692,60.43,0.43902983776452426,0.3499614025108683,44.8317348957061,3,3,4,3,3,10,5,1,2
-936301288487037930,58.7,0.4315562019665977,0.3577134034859628,89.494516134262,3,4,3,4,3,10,5,2,1
-175715007547401056,60.24,0.4381180666543236,0.3516678178198514,7.15161347389221,4,4,4,3,3,5,5,1,1
-1106849019591043583,60.66,0.4423407107760349,0.3503026855726649,45.7190051078796,3,3,4,3,4,10,5,1,2
-901970943479683967,58.78,0.4322187624322023,0.3559094787307521,185.081490516662,4,3,3,3,3,10,10,2,1
-2079094778888759046,60.25,0.4380709793003405,0.3494738552797303,44.2791080474853,3,4,4,3,3,5,10,1,2
5446124987674892638,59.67,0.4352000674650441,0.3486937797099095,1351.189999103546,3,4,3,3,3,10,5,2,2
5514785044152011370,60.84,0.4420971810565903,0.3482062324787715,24.76398181915283,4,4,3,4,4,5,5,1,2
9143611110348622915,60.16,0.44030066475775903,0.3495713647259579,94.2268924713134,3,4,3,4,4,10,5,2,1
7678529291929709466,59.1,0.4328794029485591,0.35644578068500393,43.2685759067535,4,3,3,4,3,5,5,2,1
-2489885313765912258,61.07,0.4431223149328888,0.3449884207532605,1826.67733383178,3,3,4,3,4,5,10,2,2
-1771258927596557981,60.58,0.4408850209322239,0.3506927233575753,44.70225906372,3,3,4,4,4,5,5,2,1
-7105589873717761610,60.84,0.44243471471141066,0.344890911307033,717.133873701095,4,4,3,3,4,5,5,2,2
-8668129190112761438,59.99,0.4356927941519451,0.35259415755901363,91.291829109191,3,3,4,3,3,5,10,2,1
4507085911406303610,60.66,0.4421131263499415,0.3481087230325439,87.5322484970092,3,4,3,4,4,10,10,1,2
-1078090190103002659,60.59,0.4423631537664812,0.350546459188234,45.19055581092834,3,4,4,3,4,10,5,1,2
3481330567172857420,59.99,0.4377064828501952,0.3498638930646407,22.8034958839416,3,4,3,3,3,5,5,1,2
5021568371610159792,60.09,0.4376829947619504,0.35108276114248577,45.3482220172882,3,3,3,4,3,5,10,1,2
4348076409852511412,60.27,0.4399951597157245,0.3519115914354204,44.05415248870849,3,4,3,3,4,5,10,1,2
-642666574206537909,61.03,0.4420705634996635,0.3449884207532605,1928.758111238479,3,4,4,4,4,5,10,2,2
3510033487612282238,60.54,0.44127949819687945,0.3541543086986553,9.70281958580017,3,4,4,3,4,5,10,1,1
8599427556430983404,60.01,0.43968247331051946,0.35098525169625816,45.06321001052856,3,3,3,4,4,5,5,2,1
-3935926245892326644,60.59,0.44014662304652297,0.3472311380164954,4162.63285899162,4,3,3,4,4,10,10,2,2
-3300950730031837561,60.01,0.43761173876243203,0.3562995165156625,6.7843124866485,4,3,3,3,4,5,5,1,1
1222968789512601245,60.7,0.44177409337777135,0.3553731767765003,7.36493062973022,4,3,4,4,4,5,5,1,1
-4594233348110864092,60.92,0.4422086313610039,0.3498151383415269,48.6860144138336,4,4,4,3,4,5,5,2,1
8960644429217962618,61.08,0.4424085466554057,0.34479340186080537,637.74250292778,3,4,4,4,4,5,5,2,2
8397271901998337020,60.74,0.4422551750243386,0.3483037419249991,46.9997434616088,4,4,4,4,4,5,10,1,2
-2733858989573960138,60.05,0.4372712736731621,0.35576321456141075,17.1294674873352,4,3,4,4,3,10,10,1,1
1967217993974270362,59.99,0.4383710111617434,0.3576158940397352,18.85957741737365,3,3,3,3,4,10,10,1,1
-2058626874012430261,59.52,0.4353550794834319,0.3561532523463211,9.68859553337097,4,3,3,3,3,5,10,1,1
2236329829604927566,60.97,0.4416642177250856,0.34567098687685377,1283.795432567596,4,3,4,4,4,10,5,2,2
-9061676519804521001,60.91,0.4419931047379152,0.3460122699386504,1963.00357198715,4,3,3,4,4,5,10,2,2
-4213597575285002683,60.87,0.4430823630746916,0.3478649494169749,89.774623632431,3,3,4,4,4,10,10,1,2
1918632924063036452,60.82,0.4418500427313424,0.3483037419249991,87.750254869461,4,4,3,4,4,10,10,1,2
3574412578750997610,59.84,0.4371593306221719,0.35746962987039377,7.10405945777893,4,3,3,4,4,5,5,1,1
8106822745475717365,59.22,0.4335545492221957,0.3553244220533865,93.6703197956085,3,4,3,3,3,5,10,2,1
1883169582227168612,60.92,0.4422820464769072,0.34479340186080537,1257.182757854461,3,3,4,4,4,10,5,2,2
3294800110015507650,60.67,0.44143637348562736,0.34898630804859226,45.1517357826232,4,4,3,3,4,5,10,1,2
3836821153058233089,58.94,0.4315391661913745,0.3560557429000935,1192.295576810836,3,3,4,4,3,10,5,2,2
