,bleu,meteor,ter,elapsed_time,dp_scorer_n,sa_scorer_n,tems_lm_n,referrer_lm_n,txs_lm_n,max_dp,max_sa,max_refs,max_tems
327343882753728609,60.09,0.4381626554605021,0.3561044976232073,11.752539396286,4,3,3,4,4,10,5,1,1
7016514470856045106,60.17,0.4378749238558417,0.3530817047901516,6.83564686775207,3,4,4,3,3,5,5,1,1
910371493941404121,60.32,0.4391166512005489,0.35332547840572065,11.6007373332977,3,4,4,3,3,10,5,1,1
-695052945870465329,60.77,0.4414728130909773,0.3502051761264373,94.7974050045013,4,4,4,3,4,10,5,2,1
-733882118331847692,60.15,0.4386886013034949,0.3568845731930281,9.56996035575866,3,4,3,4,4,5,10,1,1
1729470409257907371,59.91,0.4357115616835359,0.35376427091374485,42.237609386444,3,3,4,3,3,5,5,2,1
6776592545259660472,59.99,0.4376536950285593,0.3501076666802097,86.42326903343,4,4,3,3,3,10,10,1,2
4365700842376652518,60.95,0.4422260362217673,0.35025393084955114,44.3027558326721,3,3,4,3,4,5,5,2,1
-7192768975576375336,61.34,0.4435847864043413,0.3437207979523017,717.842422962188,4,4,4,4,4,5,5,2,2
-6943390572384101528,60.52,0.4416890995478023,0.3499126477877545,92.9938683509826,3,4,4,4,4,10,5,2,1
4864889797869841210,59.45,0.4356961526173175,0.35639702596189016,7.06803369522094,4,4,3,4,3,5,5,1,1
890079988432284194,60.72,0.4410459781635243,0.3499126477877545,98.2474617958068,3,4,4,4,4,5,10,2,1
-7384450468570566866,59.06,0.43152453052327466,0.3562020070694349,3950.84738707542,4,3,4,4,3,10,10,2,2
-2587340339846874627,59.91,0.4381292726404953,0.35113151586559954,197.589926958084,4,3,3,4,4,10,10,2,1
5771869112304255580,60.89,0.4430764269498527,0.34781619469386105,45.56220960617065,3,4,4,4,4,10,5,1,2
6106274501255582877,60.81,0.4424652986149836,0.34825498720188525,25.10002994537353,4,4,4,4,4,5,5,1,2
-3780121551913868301,60.89,0.4421447179162127,0.3525454028358998,11.78422546386718,4,4,4,4,4,10,5,1,1
-1422090887442987086,60.27,0.43838020673225664,0.3541543086986553,11.66717481613159,4,4,4,4,3,10,5,1,1
-155917136346751526,60.9,0.44253659830982095,0.3485475155405681,43.9232673645019,4,3,4,3,4,10,5,1,2
1338264437783023623,59.3,0.4316764505020974,0.35566570511518314,534.017186403274,3,3,4,4,3,5,5,2,2
4197919326920675201,60.05,0.43838899328729136,0.3570795920854833,9.5765357017517,3,3,3,3,4,5,10,1,1
6443843894002699827,59.09,0.4339814817447653,0.3538130256368587,87.66448354721,3,3,3,3,3,10,5,2,1
-1748607578416130225,60.29,0.4379515804193407,0.3492300816641613,48.425903558731,4,3,3,4,3,5,10,1,2
2775731862339390229,60.16,0.4405555156750733,0.3507902328038029,44.35813498497,3,3,3,3,4,5,5,2,1
-8877841490747076457,59.2,0.4318028791658208,0.3559582334538659,1220.90467238426,4,3,4,4,3,10,5,2,2
4207686073638340081,60.75,0.44225010881773535,0.3485475155405681,46.055074930191,4,3,4,4,4,5,10,1,2
-7663693935964129736,60.83,0.4423980419718981,0.3482062324787715,24.8404994010925,4,3,4,4,4,5,5,1,2
-6695869387882497615,59.34,0.43520074711513773,0.35839596960955605,9.570699930191,3,4,3,4,3,5,10,1,1
-1917593012241965281,60.72,0.4418696586477581,0.3554706862227279,9.76551437377929,3,3,4,4,4,5,10,1,1
8497907993663645585,59.91,0.4367456878554992,0.3582009507171008,16.58898997306823,4,3,3,3,4,10,10,1,1
8570854297655799224,60.55,0.4411522478122308,0.3455247227075124,554.334858655929,3,3,3,3,4,5,5,2,2
-8131106960400726195,60.72,0.44247349615093096,0.35420306342176905,11.79148149490356,3,4,4,4,4,10,5,1,1
-5008363971932058087,60.63,0.44082677214986,0.3467923455084712,4151.94452357292,4,3,3,3,4,10,10,2,2
-8143977091730882235,59.86,0.4386169740573079,0.35152155365051,89.3381631374359,4,3,3,3,4,10,5,2,1
5441904542386779519,60.52,0.4413639325499161,0.35400804452931384,6.78069400787353,3,4,4,3,4,5,5,1,1
3180647943731689399,59.25,0.43404930136561415,0.3538130256368587,183.8675706386566,3,3,3,3,3,10,10,2,1
-4364821841612531339,60.19,0.4380817088860232,0.3504977044651201,23.28040432929992,3,3,3,4,3,5,5,1,2
-4376477641311965364,60.58,0.4412968246781955,0.3492788363872751,23.13635969161987,3,4,3,4,4,5,5,1,2
733706607239604788,60.65,0.442164719451776,0.3543493275911105,18.60561800003051,3,3,4,4,4,10,10,1,1
-6736896351928134014,58.77,0.4314996272698137,0.3570795920854833,182.7889993190765,3,3,3,4,3,10,10,2,1
-967277259957563451,60.1,0.4379310608021346,0.3562507617925487,16.91740226745605,4,4,3,4,4,10,10,1,1
4094014244413726401,59.9,0.4381198886934036,0.3518140819891928,199.0010995864868,4,4,3,3,4,10,10,2,1
-5716624348782325061,60.09,0.43808876953967657,0.35093649697314433,89.0199635028839,3,3,3,4,3,10,10,1,2
-18390967263601210,60.76,0.4413012518434159,0.3497176288952993,199.4585025310516,4,4,4,3,4,10,10,2,1
-7664623384142833596,60.19,0.4383930226442672,0.3544955917604519,19.3071162700653,3,3,4,3,3,10,10,1,1
-499046441661994479,60.19,0.4385350876843033,0.3552269126071589,17.07132935523986,3,4,4,4,3,10,10,1,1
114384342992413068,60.7,0.4412619933227376,0.3490350627717061,44.7802650928497,4,4,3,3,4,10,5,1,2
-4158195642518178495,60.45,0.4411597180753098,0.3506439686344616,197.7460646629333,3,4,4,4,4,10,10,2,1
1196351865624918181,58.78,0.4318283260280257,0.35839596960955605,44.43626236915588,3,4,3,4,3,5,5,2,1
4779429028354766435,60.44,0.44121950842205454,0.3517165725429652,45.4290018081665,3,3,4,3,4,5,10,1,2
1939921631233133576,60.47,0.4389074861234606,0.3488887986023647,22.938672542572,4,3,4,3,3,5,5,1,2
1194215648623530090,59.31,0.43292103996873016,0.35025393084955114,1196.723685741424,3,3,3,4,3,10,5,2,2
-8275876060677997459,60.79,0.4429166869631377,0.3494738552797303,91.2583191394805,3,3,4,3,4,10,5,2,1
-4350142053086666186,60.74,0.44162482358709976,0.3493763458335027,45.7787027359008,4,3,3,4,4,5,10,1,2
-2591270486996574955,59.19,0.4334058548163272,0.3554219314996141,92.314967632293,3,3,3,3,3,5,10,2,1
-6739415104126577159,60.06,0.43844031834310704,0.3578596676553042,6.72156143188476,3,4,3,4,4,5,5,1,1
-4884560616396229977,60.69,0.4421492718429232,0.35035144029577875,23.3831708431243,3,3,4,4,4,5,5,1,2
-3170107712648870422,59.55,0.4356336321928279,0.3579571771015318,12.0532677173614,3,3,3,3,3,10,5,1,1
8410367223914654807,60.07,0.4379957102856936,0.35108276114248577,86.9187602996826,3,4,3,4,3,10,10,1,2
-865729908852507824,60.74,0.4422209455508699,0.3481087230325439,23.2226588726043,3,3,3,4,4,5,5,1,2
-8085490335257061570,59.34,0.4333968231222751,0.3562507617925487,191.435091733932,4,4,4,4,3,10,10,2,1
-5129332131944813292,60.52,0.4402197275180267,0.3467923455084712,1842.633661270141,3,3,3,4,4,5,10,2,2
3142717307120936514,60.75,0.4393504056778333,0.3492300816641613,23.26432299613952,3,3,4,4,3,5,5,1,2
-2329671458276601999,60.89,0.4428000140911549,0.34727989273960924,45.95447945594787,4,4,3,4,4,10,5,1,2
3384263916305458285,59.3,0.4336198191581384,0.3551294031609313,91.0401949882507,3,3,4,4,3,10,5,2,1
7060433444208486933,60.53,0.44087428039049503,0.3499126477877545,45.1936910152435,3,3,3,4,4,5,10,1,2
4219084572796029550,59.99,0.43572021409176576,0.3507414780806892,603.160435914993,3,4,4,3,3,5,5,2,2
8001473921550480780,60.96,0.44353895538252597,0.345134684922602,1286.845101118087,3,3,4,3,4,10,5,2,2
-7965622627539781811,60.49,0.4389347767170482,0.3484500060943405,23.7486889362335,4,4,4,3,3,5,5,1,2
2575067057792316631,60.38,0.4413672556561051,0.35176532726607895,44.465929031372,3,4,4,3,4,5,10,1,2
5186299502435065131,61.13,0.4428819583202625,0.34459838296835016,4404.102416992187,4,4,4,3,4,10,10,2,2
-4230249613291913747,60.25,0.4387126225005056,0.3539592898062001,11.88150382041931,3,3,4,3,3,10,5,1,1
5272653744488044628,58.77,0.4315194250332968,0.35844472433266983,93.7968182563781,3,3,3,4,3,5,10,2,1
-3591103290887298099,60.58,0.4408833346880807,0.3536180067444035,9.9594829082489,4,3,4,3,4,5,10,1,1
8273812789945075527,60.96,0.4417499842440844,0.3506439686344616,95.9052624702453,3,3,4,3,4,5,10,2,1
-5294394083601473976,59.57,0.4339547260355053,0.3514240442042824,606.071214675903,3,4,3,4,3,5,5,2,2
1645599758701305179,60.47,0.442013583967368,0.34664608133912983,1425.979527950286,3,4,3,3,4,10,5,2,2
8250979357788169087,61.17,0.4436194373767123,0.3440620810140983,548.526671171188,3,3,4,3,4,5,5,2,2
-6650427458423561710,59.51,0.4358916152126674,0.3576158940397352,11.48026084899902,3,4,3,3,3,10,5,1,1
-6580624822983857744,59.05,0.4334042871244629,0.3561532523463211,42.40519499778747,3,3,3,3,3,5,5,2,1
2413714708897884468,58.7,0.4313427476950091,0.3578109129321904,185.1110517978668,4,3,3,4,3,10,10,2,1
-5657662669005274598,60.19,0.4380351163301031,0.3505952139113477,86.0164484977722,4,3,4,3,3,10,10,1,2
-2951161694820954435,59.89,0.43543681668866535,0.3494738552797303,603.885083675384,3,4,3,3,3,5,5,2,2
2672263005585345691,60.51,0.4405449332772106,0.3500101572339821,90.6253428459167,4,3,4,4,4,10,5,2,1
6866816842498393547,60.33,0.4386493413966612,0.3491813269410475,43.3355071544647,4,3,4,3,3,10,5,1,2
7291273628818967750,59.94,0.4365045162481497,0.3542518181448829,11.68293118476867,4,3,4,3,3,10,5,1,1
5365068715627645651,60.66,0.4411910049602072,0.3492788363872751,48.5942010879516,4,3,3,3,4,5,10,1,2
-283834615378911499,58.7,0.43135287578450016,0.3576158940397352,191.8572669029235,4,4,3,4,3,10,10,2,1
-7239063675906712818,59.89,0.4345457339672969,0.3499126477877545,1855.962743520736,4,3,3,4,3,5,10,2,2
4202812026653095830,60.58,0.4403760197522439,0.35288668589769645,16.86156582832336,4,3,4,3,4,10,10,1,1
5168969746409114799,59.95,0.4383770511026146,0.35737212042416616,11.8277506828308,3,3,3,3,4,10,5,1,1
-569816916719984458,59.25,0.4313749451800272,0.3559094787307521,1771.739775657653,3,3,4,4,3,5,10,2,2
9019938910505537372,59.21,0.4344859130458416,0.3578596676553042,11.44783306121826,4,4,3,3,3,10,5,1,1
2526513766303442140,59.94,0.4380454689876357,0.3517165725429652,200.996446371078,4,4,3,4,4,10,10,2,1
2484539093048584081,60.79,0.44163312960316187,0.3504001950188925,97.1457619667053,4,3,4,4,4,5,10,2,1
-668337292353297871,60.03,0.4383248955580887,0.35644578068500393,9.49911737442016,3,4,3,3,4,5,10,1,1
1510216873458659961,59.38,0.4336012310886688,0.3506927233575753,4168.1496255397,4,4,3,3,3,10,10,2,2
780103585342666012,59.49,0.4334783403560696,0.3518140819891928,537.857230901718,3,3,3,4,3,5,5,2,2
-1471283091682140057,60.42,0.44114976478310464,0.34664608133912983,1262.68748021125,3,3,3,4,4,10,5,2,2
-7602847896651523069,60.58,0.4404163098944467,0.352984195343924,17.08745455741882,4,4,4,3,4,10,10,1,1
2646363555578068340,59.47,0.4352146347314166,0.3582009507171008,9.45210933685302,3,4,3,3,3,5,10,1,1
-1583425330872075144,59.85,0.4352239778871131,0.3491813269410475,1728.26818084716,3,3,3,3,3,5,10,2,2
-3087449999348244371,61.27,0.4444655421111981,0.3433795148905051,1951.458361387252,4,3,4,3,4,5,10,2,2
-8234556250717028390,60.09,0.44031818496504094,0.35005891195709593,192.4580228328704,3,3,3,3,4,10,10,2,1
-7591342965522569984,60.48,0.4407977917624825,0.34664608133912983,632.036017417907,3,4,3,3,4,5,5,2,2
4757674843958910260,59.75,0.4330143410365336,0.35347174257506203,585.331519126892,4,3,4,4,3,5,5,2,2
4341021315036345738,60.67,0.4408445260224672,0.35015642140332354,97.7450439929962,3,3,4,4,4,5,10,2,1
-383138441472222435,60.22,0.4407419720545957,0.3505952139113477,46.37603116035461,3,4,3,3,4,5,5,2,1
3548249278199263307,59.06,0.4315862942684742,0.35654329013123154,4190.10354995727,4,4,4,4,3,10,10,2,2
7061661090260385964,59.33,0.43508537442716777,0.3570308373623696,17.05280470848083,4,4,3,4,3,10,10,1,1
67477854423650998,59.68,0.4351195841739371,0.35366676146751724,91.0469744205474,4,4,4,3,3,10,5,2,1
638479840179973484,60.71,0.44152300285560425,0.3453784585381709,1281.407353639602,4,3,3,3,4,10,5,2,2
-1419796226844929393,59.17,0.4329642462943142,0.3549831389915899,3965.06313204765,3,3,4,3,3,10,10,2,2
-9001171855909487192,59.88,0.4358606764240429,0.352496648112786,182.4905040264129,3,3,4,3,3,10,10,2,1
