subset,references,metric,value
1size,"[0, 1]",bleu_1,86.6
1size,"[0, 1]",bleu_2,66.9
1size,"[0, 1]",bleu_3,50.8
1size,"[0, 1]",bleu_4,39.9
1size,"[0, 1]",meteor,0.39977619653570273
1size,"[0, 1]",ter,0.3957263201150606
1size,"[0, 1]",avg_n_tokens,8.033039647577093
1size,"[0, 1]",avg_n_stop_words,0.19385796545105566
1size,"[0, 1]",macro_avg_n_stop_words,0.18891311904996397
2size,"[0, 1]",bleu,44.00
2size,"[0, 1]",bleu_1,74.5
2size,"[0, 1]",bleu_2,54.1
2size,"[0, 1]",bleu_3,39.5
2size,"[0, 1]",bleu_4,29.8
2size,"[0, 1]",meteor,0.38813765456280175
2size,"[0, 1]",ter,0.49288241586439563
2size,"[0, 1]",avg_n_tokens,15.98567335243553
2size,"[0, 1]",avg_n_stop_words,0.20702634880803011
2size,"[0, 1]",macro_avg_n_stop_words,0.20983944608859006
3size,"[0, 1]",bleu,39.46
3size,"[0, 1]",bleu_1,70.1
3size,"[0, 1]",bleu_2,47.8
3size,"[0, 1]",bleu_3,32.8
3size,"[0, 1]",bleu_4,22.7
3size,"[0, 1]",meteor,0.36894019865200506
3size,"[0, 1]",ter,0.5632679456779478
3size,"[0, 1]",avg_n_tokens,23.60621761658031
3size,"[0, 1]",avg_n_stop_words,0.21784460052677787
3size,"[0, 1]",macro_avg_n_stop_words,0.21750678471964335
4size,"[0, 1]",bleu,38.76
4size,"[0, 1]",bleu_1,69.8
4size,"[0, 1]",bleu_2,46.9
4size,"[0, 1]",bleu_3,31.6
4size,"[0, 1]",bleu_4,21.8
4size,"[0, 1]",meteor,0.3627100086436422
4size,"[0, 1]",ter,0.5921674246103581
4size,"[0, 1]",avg_n_tokens,31.418732782369148
4size,"[0, 1]",avg_n_stop_words,0.21709776413853574
4size,"[0, 1]",macro_avg_n_stop_words,0.21890769434701368
5size,"[0, 1]",bleu,36.03
5size,"[0, 1]",bleu_1,69.3
5size,"[0, 1]",bleu_2,44.9
5size,"[0, 1]",bleu_3,28.8
5size,"[0, 1]",bleu_4,18.8
5size,"[0, 1]",meteor,0.3554832011474509
5size,"[0, 1]",ter,0.62399593289273
5size,"[0, 1]",avg_n_tokens,38.1811320754717
5size,"[0, 1]",avg_n_stop_words,0.23463135006918362
5size,"[0, 1]",macro_avg_n_stop_words,0.23447924853212698
6size,"[0, 1]",bleu,46.08
6size,"[0, 1]",bleu_1,76.6
6size,"[0, 1]",bleu_2,55.3
6size,"[0, 1]",bleu_3,39.2
6size,"[0, 1]",bleu_4,27.1
6size,"[0, 1]",meteor,0.4025369878513084
6size,"[0, 1]",ter,0.5732484076433121
6size,"[0, 1]",avg_n_tokens,49.208333333333336
6size,"[0, 1]",avg_n_stop_words,0.3293818797629128
6size,"[0, 1]",macro_avg_n_stop_words,0.3231557738228858
7size,"[0, 1]",bleu,40.98
7size,"[0, 1]",bleu_1,72.7
7size,"[0, 1]",bleu_2,49.9
7size,"[0, 1]",bleu_3,33.5
7size,"[0, 1]",bleu_4,23.2
7size,"[0, 1]",meteor,0.3857100167632595
7size,"[0, 1]",ter,0.645224171539961
7size,"[0, 1]",avg_n_tokens,54.80952380952381
7size,"[0, 1]",avg_n_stop_words,0.32232841007819285
7size,"[0, 1]",macro_avg_n_stop_words,0.31388626571132155
all-cat,"[0, 1]",bleu,40.31
all-cat,"[0, 1]",bleu_1,72.1
all-cat,"[0, 1]",bleu_2,49.5
all-cat,"[0, 1]",bleu_3,33.8
all-cat,"[0, 1]",bleu_4,23.5
all-cat,"[0, 1]",meteor,0.3709695108549609
all-cat,"[0, 1]",ter,0.5581299131154324
all-cat,"[0, 1]",avg_n_tokens,22.660042964554243
all-cat,"[0, 1]",avg_n_stop_words,0.22413670514066314
all-cat,"[0, 1]",macro_avg_n_stop_words,0.21423522325244326
new-cat,"[0, 1]",bleu,27.03
new-cat,"[0, 1]",bleu_1,62.7
new-cat,"[0, 1]",bleu_2,38.0
new-cat,"[0, 1]",bleu_3,22.1
new-cat,"[0, 1]",bleu_4,13.0
new-cat,"[0, 1]",meteor,0.32402782575747885
new-cat,"[0, 1]",ter,0.6351557612911297
new-cat,"[0, 1]",avg_n_tokens,20.683501683501685
new-cat,"[0, 1]",avg_n_stop_words,0.12225297086114277
new-cat,"[0, 1]",macro_avg_n_stop_words,0.1254848784276274
old-cat,"[0, 1]",bleu,49.95
old-cat,"[0, 1]",bleu_1,79.4
old-cat,"[0, 1]",bleu_2,58.2
old-cat,"[0, 1]",bleu_3,42.7
old-cat,"[0, 1]",bleu_4,31.5
old-cat,"[0, 1]",meteor,0.4116795770547482
old-cat,"[0, 1]",ter,0.492698790571131
old-cat,"[0, 1]",avg_n_tokens,24.473738414006178
old-cat,"[0, 1]",avg_n_stop_words,0.3031476182460865
