subset,references,metric,value
1size,"[0, 1]",bleu_2,49.2
1size,"[0, 1]",bleu_3,34.7
1size,"[0, 1]",bleu_4,24.8
1size,"[0, 1]",meteor,0.32146361421641984
1size,"[0, 1]",ter,0.6519416478323402
1size,"[0, 1]",avg_n_tokens,9.55726872246696
1size,"[0, 1]",avg_n_stop_words,0.32288545747868175
1size,"[0, 1]",macro_avg_n_stop_words,0.23465312259653437
2size,"[0, 1]",bleu,11.43
2size,"[0, 1]",bleu_1,66.5
2size,"[0, 1]",bleu_2,50.1
2size,"[0, 1]",bleu_3,35.6
2size,"[0, 1]",bleu_4,26.3
2size,"[0, 1]",meteor,0.15184157692007147
2size,"[0, 1]",ter,0.7917386653501193
2size,"[0, 1]",avg_n_tokens,7.252148997134671
2size,"[0, 1]",avg_n_stop_words,0.32200711181351244
2size,"[0, 1]",macro_avg_n_stop_words,0.115245042569626
3size,"[0, 1]",bleu,2.55
3size,"[0, 1]",bleu_1,65.7
3size,"[0, 1]",bleu_2,51.7
3size,"[0, 1]",bleu_3,35.5
3size,"[0, 1]",bleu_4,25.0
3size,"[0, 1]",meteor,0.09017724062715693
3size,"[0, 1]",ter,0.8549256305238198
3size,"[0, 1]",avg_n_tokens,5.891191709844559
3size,"[0, 1]",avg_n_stop_words,0.3038698328935796
3size,"[0, 1]",macro_avg_n_stop_words,0.06595401793103425
4size,"[0, 1]",bleu,0.07
4size,"[0, 1]",bleu_1,60.0
4size,"[0, 1]",bleu_2,54.9
4size,"[0, 1]",bleu_3,40.0
4size,"[0, 1]",bleu_4,30.2
4size,"[0, 1]",meteor,0.041579966001665296
4size,"[0, 1]",ter,0.8972581570930284
4size,"[0, 1]",avg_n_tokens,3.746556473829201
4size,"[0, 1]",avg_n_stop_words,0.24705882352941178
4size,"[0, 1]",macro_avg_n_stop_words,0.02749545620712316
5size,"[0, 1]",bleu,0.00
5size,"[0, 1]",bleu_1,53.1
5size,"[0, 1]",bleu_2,56.9
5size,"[0, 1]",bleu_3,39.9
5size,"[0, 1]",bleu_4,26.9
5size,"[0, 1]",meteor,0.020808739384257636
5size,"[0, 1]",ter,0.9219115404168785
5size,"[0, 1]",avg_n_tokens,2.5320754716981133
5size,"[0, 1]",avg_n_stop_words,0.19523099850968703
5size,"[0, 1]",macro_avg_n_stop_words,0.012361220437034567
6size,"[0, 1]",bleu,0.00
6size,"[0, 1]",bleu_1,0.0
6size,"[0, 1]",bleu_2,0.0
6size,"[0, 1]",bleu_3,0.0
6size,"[0, 1]",bleu_4,0.0
6size,"[0, 1]",meteor,0.0
6size,"[0, 1]",ter,0.9417652411282984
6size,"[0, 1]",avg_n_tokens,1.0
6size,"[0, 1]",avg_n_stop_words,0.0
6size,"[0, 1]",macro_avg_n_stop_words,0.0
7size,"[0, 1]",bleu,0.00
7size,"[0, 1]",bleu_1,0.0
7size,"[0, 1]",bleu_2,0.0
7size,"[0, 1]",bleu_3,0.0
7size,"[0, 1]",bleu_4,0.0
7size,"[0, 1]",meteor,0.0
7size,"[0, 1]",ter,0.9502923976608187
7size,"[0, 1]",avg_n_tokens,1.0
7size,"[0, 1]",avg_n_stop_words,0.0
7size,"[0, 1]",macro_avg_n_stop_words,0.0
all-cat,"[0, 1]",bleu,3.20
all-cat,"[0, 1]",bleu_1,65.3
all-cat,"[0, 1]",bleu_2,50.9
all-cat,"[0, 1]",bleu_3,35.9
all-cat,"[0, 1]",bleu_4,25.9
all-cat,"[0, 1]",meteor,0.09691712177015964
all-cat,"[0, 1]",ter,0.8539971498184159
all-cat,"[0, 1]",avg_n_tokens,6.02577873254565
all-cat,"[0, 1]",avg_n_stop_words,0.30071301247771837
all-cat,"[0, 1]",macro_avg_n_stop_words,0.0996068004597238
new-cat,"[0, 1]",bleu,0.03
new-cat,"[0, 1]",bleu_1,48.1
new-cat,"[0, 1]",bleu_2,50.1
new-cat,"[0, 1]",bleu_3,35.1
new-cat,"[0, 1]",bleu_4,24.1
new-cat,"[0, 1]",meteor,0.03281085389414054
new-cat,"[0, 1]",ter,0.9086450644313775
new-cat,"[0, 1]",avg_n_tokens,2.5196408529741863
new-cat,"[0, 1]",avg_n_stop_words,0.21425389755011137
new-cat,"[0, 1]",macro_avg_n_stop_words,0.04428270435752373
old-cat,"[0, 1]",bleu,10.34
old-cat,"[0, 1]",bleu_1,69.7
old-cat,"[0, 1]",bleu_2,51.0
old-cat,"[0, 1]",bleu_3,36.0
old-cat,"[0, 1]",bleu_4,26.2
old-cat,"[0, 1]",meteor,0.14987599716250002
old-cat,"[0, 1]",ter,0.8075754033200842
old-cat,"[0, 1]",avg_n_tokens,9.243048403707519
old-cat,"[0, 1]",avg_n_stop_words,0.3223398328690808
