subset,references,metric,value
1size,"[0, 1]",bleu_1,67.4
1size,"[0, 1]",bleu_2,47.7
1size,"[0, 1]",bleu_3,38.1
1size,"[0, 1]",bleu_4,31.2
1size,"[0, 1]",meteor,0.36436216921188186
1size,"[0, 1]",ter,0.48140538319293197
1size,"[0, 1]",avg_n_tokens,11.618942731277533
1size,"[0, 1]",avg_n_stop_words,0.3237914691943128
1size,"[0, 1]",macro_avg_n_stop_words,0.32142001954921523
2size,"[0, 1]",bleu,30.55
2size,"[0, 1]",bleu_1,55.5
2size,"[0, 1]",bleu_2,34.6
2size,"[0, 1]",bleu_3,24.7
2size,"[0, 1]",bleu_4,18.4
2size,"[0, 1]",meteor,0.315547350918102
2size,"[0, 1]",ter,0.7540524973257632
2size,"[0, 1]",avg_n_tokens,22.183381088825215
2size,"[0, 1]",avg_n_stop_words,0.37587186773443554
2size,"[0, 1]",macro_avg_n_stop_words,0.3669548688588253
3size,"[0, 1]",bleu,25.25
3size,"[0, 1]",bleu_1,49.5
3size,"[0, 1]",bleu_2,29.7
3size,"[0, 1]",bleu_3,19.9
3size,"[0, 1]",bleu_4,13.9
3size,"[0, 1]",meteor,0.29991146812721275
3size,"[0, 1]",ter,0.9572106057339944
3size,"[0, 1]",avg_n_tokens,35.129533678756474
3size,"[0, 1]",avg_n_stop_words,0.3896017699115044
3size,"[0, 1]",macro_avg_n_stop_words,0.3780010131578013
4size,"[0, 1]",bleu,24.88
4size,"[0, 1]",bleu_1,48.0
4size,"[0, 1]",bleu_2,29.2
4size,"[0, 1]",bleu_3,19.7
4size,"[0, 1]",bleu_4,13.9
4size,"[0, 1]",meteor,0.2896344429560422
4size,"[0, 1]",ter,0.9979248531944015
4size,"[0, 1]",avg_n_tokens,45.988980716253444
4size,"[0, 1]",avg_n_stop_words,0.3840900922487121
4size,"[0, 1]",macro_avg_n_stop_words,0.37353250856438847
5size,"[0, 1]",bleu,24.35
5size,"[0, 1]",bleu_1,48.8
5size,"[0, 1]",bleu_2,29.1
5size,"[0, 1]",bleu_3,19.0
5size,"[0, 1]",bleu_4,13.0
5size,"[0, 1]",meteor,0.2861133697930081
5size,"[0, 1]",ter,0.9996949669547535
5size,"[0, 1]",avg_n_tokens,54.20754716981132
5size,"[0, 1]",avg_n_stop_words,0.3981204316045945
5size,"[0, 1]",macro_avg_n_stop_words,0.38893339112442804
6size,"[0, 1]",bleu,57.91
6size,"[0, 1]",bleu_1,84.5
6size,"[0, 1]",bleu_2,65.2
6size,"[0, 1]",bleu_3,51.4
6size,"[0, 1]",bleu_4,41.1
6size,"[0, 1]",meteor,0.4279073201385088
6size,"[0, 1]",ter,0.3830755232029117
6size,"[0, 1]",avg_n_tokens,45.083333333333336
6size,"[0, 1]",avg_n_stop_words,0.3724584103512015
6size,"[0, 1]",macro_avg_n_stop_words,0.3694459717168062
7size,"[0, 1]",bleu,58.57
7size,"[0, 1]",bleu_1,86.5
7size,"[0, 1]",bleu_2,67.9
7size,"[0, 1]",bleu_3,52.2
7size,"[0, 1]",bleu_4,40.7
7size,"[0, 1]",meteor,0.43106977690846926
7size,"[0, 1]",ter,0.3888888888888889
7size,"[0, 1]",avg_n_tokens,48.04761904761905
7size,"[0, 1]",avg_n_stop_words,0.3726461843409316
7size,"[0, 1]",macro_avg_n_stop_words,0.37093035075689534
all-cat,"[0, 1]",bleu,28.35
all-cat,"[0, 1]",bleu_1,52.5
all-cat,"[0, 1]",bleu_2,32.9
all-cat,"[0, 1]",bleu_3,22.8
all-cat,"[0, 1]",bleu_4,16.5
all-cat,"[0, 1]",meteor,0.3084856323388998
all-cat,"[0, 1]",ter,0.8679032777088218
all-cat,"[0, 1]",avg_n_tokens,32.076799140708914
all-cat,"[0, 1]",avg_n_stop_words,0.38192107422103905
all-cat,"[0, 1]",macro_avg_n_stop_words,0.3626295484049031
new-cat,"[0, 1]",bleu,9.21
new-cat,"[0, 1]",bleu_1,32.1
new-cat,"[0, 1]",bleu_2,12.9
new-cat,"[0, 1]",bleu_3,6.1
new-cat,"[0, 1]",bleu_4,2.8
new-cat,"[0, 1]",meteor,0.18702489584861337
new-cat,"[0, 1]",ter,1.41503815838859
new-cat,"[0, 1]",avg_n_tokens,40.30078563411897
new-cat,"[0, 1]",avg_n_stop_words,0.40436671493817533
new-cat,"[0, 1]",macro_avg_n_stop_words,0.3877938865877522
old-cat,"[0, 1]",bleu,55.96
old-cat,"[0, 1]",bleu_1,83.3
old-cat,"[0, 1]",bleu_2,63.4
old-cat,"[0, 1]",bleu_3,48.7
old-cat,"[0, 1]",bleu_4,38.1
old-cat,"[0, 1]",meteor,0.4348204269015583
old-cat,"[0, 1]",ter,0.4031287861075095
old-cat,"[0, 1]",avg_n_tokens,24.53038105046344
old-cat,"[0, 1]",avg_n_stop_words,0.34808346278181285
old-cat,"[0, 1]",macro_avg_n_stop_words,0.33953848216296845
