subset,references,metric,value
6size,"[0, 1, 2]",macro_avg_n_stop_words,0.3095018795160068
6size,"[0, 1]",bleu,46.42
6size,"[0, 1]",bleu_1,75.3
6size,"[0, 1]",bleu_2,54.6
6size,"[0, 1]",bleu_3,39.5
6size,"[0, 1]",bleu_4,28.6
6size,"[0, 1]",meteor,0.4300593857047202
6size,"[0, 1]",ter,0.5623293903548681
6size,"[0, 1]",avg_n_tokens,53.541666666666664
6size,"[0, 1]",avg_n_stop_words,0.31284046692607004
6size,"[0, 1]",macro_avg_n_stop_words,0.3095018795160068
7size,"[0, 1, 2]",bleu,43.14
7size,"[0, 1, 2]",bleu_1,74.8
7size,"[0, 1, 2]",bleu_2,53.0
7size,"[0, 1, 2]",bleu_3,35.9
7size,"[0, 1, 2]",bleu_4,24.4
7size,"[0, 1, 2]",meteor,0.4002642021178525
7size,"[0, 1, 2]",ter,0.6401165614375911
7size,"[0, 1, 2]",avg_n_tokens,58.38095238095238
7size,"[0, 1, 2]",avg_n_stop_words,0.3197389885807504
7size,"[0, 1, 2]",macro_avg_n_stop_words,0.31145112788895574
7size,"[0, 1]",bleu,39.21
7size,"[0, 1]",bleu_1,72.0
7size,"[0, 1]",bleu_2,48.5
7size,"[0, 1]",bleu_3,31.9
7size,"[0, 1]",bleu_4,21.2
7size,"[0, 1]",meteor,0.3960337540017635
7size,"[0, 1]",ter,0.6442495126705653
7size,"[0, 1]",avg_n_tokens,58.38095238095238
7size,"[0, 1]",avg_n_stop_words,0.3197389885807504
7size,"[0, 1]",macro_avg_n_stop_words,0.31145112788895574
all-cat,"[0, 1, 2]",bleu,47.18
all-cat,"[0, 1, 2]",bleu_1,79.2
all-cat,"[0, 1, 2]",bleu_2,55.3
all-cat,"[0, 1, 2]",bleu_3,39.5
all-cat,"[0, 1, 2]",bleu_4,28.6
all-cat,"[0, 1, 2]",meteor,0.39189783072903983
all-cat,"[0, 1, 2]",ter,0.5102614919859145
all-cat,"[0, 1, 2]",avg_n_tokens,23.13157894736842
all-cat,"[0, 1, 2]",avg_n_stop_words,0.2914025678530798
all-cat,"[0, 1, 2]",macro_avg_n_stop_words,0.2809407651388336
all-cat,"[0, 1]",bleu,43.43
all-cat,"[0, 1]",bleu_1,76.5
all-cat,"[0, 1]",bleu_2,51.3
all-cat,"[0, 1]",bleu_3,35.7
